Method,Accuracy
Custom Fields,0
Subscription List BOW,"('ACCURACY--> Bayes:', 0.71875, '|RForest:', 0.71875, '|SVM:', 0.65625, '|SGD:', 0.6875, 'F-SCORE--> Bayes:', array([ 0.        ,  0.2       ,  0.84615385]), '|RForest:', array([ 0.        ,  0.33333333,  0.84      ]), '|SVM:', array([ 0.        ,  0.18181818,  0.8       ]), '|SGD:', array([ 0.        ,  0.18181818,  0.82352941]))"
Tweets BOW,"('ACCURACY--> Bayes:', 0.73568281938325997, '|RForest:', 0.74449339207048459, '|SVM:', 0.75770925110132159, '|SGD:', 0.74889867841409696, 'F-SCORE--> Bayes:', array([ 0.        ,  0.79285714,  0.84210526]), '|RForest:', array([ 0.11538462,  0.8030303 ,  0.86956522]), '|SVM:', array([ 0.08888889,  0.81081081,  0.86666667]), '|SGD:', array([ 0.08888889,  0.8046875 ,  0.8496732 ]))"
Tweets Bigram,"('ACCURACY--> Bayes:', 0.79295154185022021, '|RForest:', 0.74449339207048459, '|SVM:', 0.74008810572687223, '|SGD:', 0.74449339207048459, 'F-SCORE--> Bayes:', array([ 0.52054795,  0.82553191,  0.87671233]), '|RForest:', array([ 0.11538462,  0.80152672,  0.87142857]), '|SVM:', array([ 0.425     ,  0.76595745,  0.87769784]), '|SGD:', array([ 0.12765957,  0.80147059,  0.84444444]))"
