Method,Accuracy
Custom Fields,0
Subscription List BOW,0
Tweets BOW,"('ACCURACY--> Bayes:', 0.61038961038961037, '|RForest:', 0.61038961038961037, '|SVM:', 0.49783549783549785, '|SGD:', 0.61904761904761907, 'F-SCORE--> Bayes:', array([ 0.        ,  0.78321678,  0.19354839,  0.62650602,  0.        ]), '|RForest:', array([ 0.21538462,  0.77256318,  0.3030303 ,  0.59459459,  0.        ]), '|SVM:', array([ 0.        ,  0.66473988,  0.        ,  0.        ,  0.        ]), '|SGD:', array([ 0.14814815,  0.78082192,  0.21428571,  0.59459459,  0.        ]))"
Tweets Bigram,0
