Method,Accuracy
Custom Fields,0
Subscription List BOW,0
Tweets BOW,"('ACCURACY--> Bayes:', 0.74889867841409696, '|RForest:', 0.76211453744493396, '|SVM:', 0.75770925110132159, '|SGD:', 0.75770925110132159, 'F-SCORE--> Bayes:', array([ 0.        ,  0.80291971,  0.86330935]), '|RForest:', array([ 0.18867925,  0.81395349,  0.88111888]), '|SVM:', array([ 0.16666667,  0.80933852,  0.8590604 ]), '|SGD:', array([ 0.20408163,  0.80952381,  0.8496732 ]))"
Tweets Bigram,"('ACCURACY--> Bayes:', 0.79295154185022021, '|RForest:', 0.74889867841409696, '|SVM:', 0.74008810572687223, '|SGD:', 0.74449339207048459, 'F-SCORE--> Bayes:', array([ 0.52054795,  0.82553191,  0.87671233]), '|RForest:', array([ 0.11320755,  0.8045977 ,  0.88571429]), '|SVM:', array([ 0.425     ,  0.76595745,  0.87769784]), '|SGD:', array([ 0.12765957,  0.80147059,  0.84444444]))"
