Method,Accuracy
Custom Fields,"('Bayes:', 0.35121951219512193, '|RForest:', 0.52682926829268295)"
Subscription List BOW,"('Bayes:', 0.4975609756097561, '|RForest:', 0.49268292682926829, '|NeuralN:', 0.5024390243902439)"
Tweets BOW,"('Bayes:', 0.57560975609756093, '|RForest:', 0.55609756097560981, '|NeuralN:', 0.51707317073170733, '|SVM:', 0.45853658536585368, '|SGD:', 0.55609756097560981)"
Tweets Bigram,"('Bayes:', 0.54146341463414638, '|RForest:', 0.54634146341463419, '|NeuralN:', 0.51707317073170733)"
