Method,Accuracy
Custom Fields,"('Bayes:', 0.40284360189573459, '|RForest:', 0.50236966824644547, '|SVM:', 0.13270142180094788, '|SGD:', 0.32227488151658767)"
Subscription List BOW,"('Bayes:', 0.51184834123222744, '|RForest:', 0.50710900473933651, '|SVM:', 0.49289099526066349, '|SGD:', 0.52132701421800953)"
Tweets BOW,"('Bayes:', 0.62559241706161139, '|RForest:', 0.60663507109004744, '|SVM:', 0.5781990521327014, '|SGD:', 0.61611374407582942)"
Tweets Bigram,"('Bayes:', 0.61611374407582942, '|RForest:', 0.60663507109004744, '|SVM:', 0.53554502369668244, '|SGD:', 0.57345971563981046)"
