Method,Accuracy
Custom Fields,0
Custom Fields Balanced,0
Subscription List BOW,"('ACCURACY--> Bayes:', 0.36363636363636365, '|RForest:', 0.42424242424242425, '|SVM:', 0.39393939393939392, '|SGD:', 0.42424242424242425, 'F-SCORE--> Bayes:', array([ 0.        ,  0.28571429,  0.22222222,  0.45714286,  0.33333333]), '|RForest:', array([ 0.        ,  0.5625    ,  0.25      ,  0.44444444,  0.        ]), '|SVM:', array([ 0.   ,  0.6  ,  0.2  ,  0.375,  0.   ]), '|SGD:', array([ 0.        ,  0.58064516,  0.        ,  0.42105263,  0.28571429]))"
Subscription List BOW Balanced,0
Tweets BOW,0
Tweets BOW Balanced,0
Tweets Bigram,0
Tweets Bigram Balanced,0
