Method,Accuracy
Custom Fields,"('ACCURACY--> Bayes:', 0.46330275229357798, '|RForest:', 0.71100917431192656, '|SVM:', 0.45412844036697247, '|SGD:', 0.61009174311926606, 'F-SCORE--> Bayes:', array([ 0.44615385,  0.51376147,  0.36363636]), '|RForest:', array([ 0.4       ,  0.73451327,  0.82857143]), '|SVM:', array([ 0.3255814 ,  0.55833333,  0.32727273]), '|SGD:', array([ 0.15686275,  0.7080292 ,  0.57657658]))"
Subscription List BOW,"('ACCURACY--> Bayes:', 0.57798165137614677, '|RForest:', 0.55045871559633031, '|SVM:', 0.5321100917431193, '|SGD:', 0.56422018348623848, 'F-SCORE--> Bayes:', array([ 0.        ,  0.7012987 ,  0.40909091]), '|RForest:', array([ 0.        ,  0.68789809,  0.29268293]), '|SVM:', array([ 0.        ,  0.67924528,  0.20512821]), '|SGD:', array([ 0.        ,  0.69453376,  0.35294118]))"
Tweets BOW,"('ACCURACY--> Bayes:', 0.76605504587155959, '|RForest:', 0.72018348623853212, '|SVM:', 0.66972477064220182, '|SGD:', 0.73853211009174313, 'F-SCORE--> Bayes:', array([ 0.42105263,  0.8       ,  0.84892086]), '|RForest:', array([ 0.08      ,  0.77911647,  0.84671533]), '|SVM:', array([ 0.43010753,  0.68269231,  0.81481481]), '|SGD:', array([ 0.15686275,  0.79051383,  0.86363636]))"
Tweets Bigram,"('ACCURACY--> Bayes:', 0.75688073394495414, '|RForest:', 0.73394495412844041, '|SVM:', 0.6834862385321101, '|SGD:', 0.71100917431192656, 'F-SCORE--> Bayes:', array([ 0.29090909,  0.79166667,  0.87943262]), '|RForest:', array([ 0.1509434 ,  0.79032258,  0.85925926]), '|SVM:', array([ 0.41860465,  0.70852018,  0.81889764]), '|SGD:', array([ 0.04651163,  0.76628352,  0.81818182]))"
