score,word
1.22044449435,sale
1.22449581656,jajaja
1.22720584532,dormir
1.2299232383,sueño
1.23264803563,sigo
1.23538027776,pensar
1.23538027776,siento
1.2381200055,cabeza
1.23949268932,digo
1.24500234513,vos
1.25332416846,lindo
1.25471789691,hizo
1.25751119482,dios
1.25891077517,hago
1.2617158261,familia
1.26312130771,unas
1.26734964382,sos
1.2744368457,vivir
1.27586033349,mes
1.27586033349,vi
1.27728585048,tomar
1.28157463475,amo
1.28157463475,único
1.28300832675,mala
1.28444407718,comer
1.28588189195,manera
1.28588189195,rato
1.28876373832,habla
1.29020778189,fuerte
1.29020778189,importa
1.29020778189,quieren
1.29165391374,creer
1.29165391374,todavía
1.29310213992,tipo
1.2945524665,meses
1.2945524665,miedo
1.29600489958,vuelve
1.30183581989,dia
1.30183581989,hablando
1.30183581989,re
1.30476407967,necesito
1.30623143136,tema
1.30770093934,escuchar
1.30770093934,mierda
1.30770093934,sábado
1.30917260995,entiendo
1.30917260995,iba
1.30917260995,idea
1.30917260995,linda
1.30917260995,loco
1.30917260995,media
1.3121224646,jajajaja
1.31508104664,vuelta
1.3165636266,lluvia
1.3165636266,odio
1.3165636266,sol
1.31804840787,empezar
1.31953539699,alguna
1.31953539699,haces
1.32102460054,vacaciones
1.32400967738,anda
1.32400967738,visto
1.32550556398,ojos
1.32850406697,primero
1.32850406697,venir
1.33151158804,corazón
1.33151158804,mujer
1.33603989766,doy
1.33603989766,encanta
1.33603989766,pase
1.33907020301,dejo
1.33907020301,luz
1.34058880619,quedo
1.34210971903,justo
1.34363294857,vale
1.34515850188,amiga
1.34515850188,arriba
1.34515850188,calor
1.34515850188,conmigo
1.34515850188,entonces
1.34668638606,viaje
1.34974917559,nota
1.34974917559,vivo
1.3512840953,perder
1.3512840953,tal
1.35282137462,dale
1.35436102081,extraño
1.35436102081,sola
1.35436102081,tampoco
1.35436102081,ve
1.35590304116,dolor
1.35899423373,algún
1.36054342072,esperar
1.36054342072,pensando
1.36209501141,hice
1.36209501141,pasando
1.36364901327,18
1.36364901327,jaja
1.36520543382,nombre
1.36676428059,partido
1.36832556116,jueves
1.36988928313,largo
1.37145545417,terminar
1.37302408194,haga
1.37459517417,buscar
1.37459517417,verano
1.37616873862,agua
1.38090434337,encima
1.38090434337,pobre
1.38248787497,comprar
1.38248787497,juntos
1.38248787497,sino
1.38407391813,paz
1.38725357104,asi
1.38725357104,dije
1.38725357104,mirar
1.38725357104,saben
1.38725357104,último
1.38884719688,pienso
1.39044336641,ah
1.39044336641,finde
1.39204208778,recién
1.39524721872,imposible
1.39524721872,lejos
1.39524721872,problema
1.39524721872,tanta
1.39524721872,triste
1.40007425947,razón
1.40168846483,dio
1.40168846483,vaya
1.40330528005,cuanto
1.40330528005,jugar
1.40330528005,siendo
1.40492471361,acá
1.40654677398,fiesta
1.40654677398,llegue
1.40817146971,llego
1.40817146971,pelo
1.40817146971,pena
1.40817146971,sacar
1.40817146971,sólo
1.40817146971,tenes
1.41142880158,hacia
1.413061455,calle
1.413061455,duele
1.41469677834,das
1.41469677834,vieja
1.41633478035,frente
1.41633478035,quedan
1.4179754698,momentos
1.4179754698,punto
1.41961885555,martes
1.41961885555,vemos
1.42291375144,cumpleaños
1.42291375144,temprano
1.42456527948,camino
1.42456527948,caso
1.42621953958,humor
1.42621953958,regalo
1.42787654079,querer
1.42787654079,tres
1.4295362922,boca
1.4295362922,mirando
1.4295362922,ustedes
1.4295362922,viendo
1.43119880298,hijo
1.43119880298,segundo
1.43119880298,vino
1.4328640823,hermosa
1.4328640823,puta
1.4345321394,juego
1.4345321394,mando
1.43620298356,13
1.43620298356,cama
1.43787662412,di
1.43787662412,pasan
1.43955307045,espera
1.43955307045,navidad
1.44123233197,banco
1.44123233197,escuchando
1.44123233197,hermoso
1.44123233197,raro
1.44291441815,onda
1.44291441815,video
1.44459933851,alto
1.44628710263,jajajajaja
1.44797772011,bajo
1.44797772011,leer
1.44967120061,100
1.44967120061,llama
1.44967120061,podes
1.45136755386,malo
1.45476891768,hacemos
1.45476891768,hombre
1.45647394794,entrar
1.45818189028,feo
1.45818189028,manos
1.45989275468,cuerpo
1.45989275468,ganar
1.45989275468,llorar
1.46160655116,plata
1.46160655116,quieras
1.46160655116,viejo
1.46332328978,argentina
1.46332328978,culpa
1.46332328978,pa
1.46332328978,pongo
1.46332328978,única
1.46676563397,noches
1.46849125994,pregunta
1.47021986884,chicos
1.471951471,cualquiera
1.471951471,cuesta
1.471951471,demasiado
1.471951471,diga
1.471951471,llevar
1.471951471,pedir
1.47368607682,hermano
1.47542369672,sentir
1.47542369672,sé
1.47542369672,tantas
1.47716434119,música
1.47716434119,rápido
1.4789080208,17
1.4789080208,quedar
1.48065474613,felicidad
1.48065474613,ven
1.48065474613,vienen
1.48767231879,frío
1.48767231879,quería
1.48943443378,alma
1.48943443378,morir
1.49119965931,gana
1.49296800637,llevo
1.49473948601,dias
1.49473948601,joda
1.49473948601,verte
1.49651410937,libre
1.49651410937,listo
1.49651410937,negro
1.49829188762,dando
1.49829188762,empieza
1.49829188762,problemas
1.50007283199,cerca
1.50007283199,existe
1.50007283199,termina
1.50185695378,16
1.50185695378,acabo
1.50185695378,comida
1.50185695378,fácil
1.50185695378,pueda
1.50185695378,vuelvo
1.50364426436,dicho
1.50364426436,ojalá
1.50543477513,14
1.50543477513,clase
1.50543477513,mensaje
1.50543477513,ponen
1.50722849759,celular
1.50722849759,dejan
1.50722849759,difícil
1.50902544326,cae
1.50902544326,siesta
1.51082562377,anoche
