Method,Accuracy
Custom Fields,"('ACCURACY--> Bayes:', 0.39449541284403672, '|RForest:', 0.56422018348623848, '|SVM:', 0.46788990825688076, '|SGD:', 0.45871559633027525, 'F-SCORE--> Bayes:', array([ 0.448     ,  0.52688172,  0.14925373,  0.15384615,  0.15384615,  0.        ]), '|RForest:', array([ 0.42857143,  0.73127753,  0.22727273,  0.50746269,  0.        ,  0.        ]), '|SVM:', array([ 0.04761905,  0.65724382,  0.        ,  0.13793103,  0.2962963 ,  0.        ]), '|SGD:', array([ 0.12345679,  0.70149254,  0.        ,  0.05128205,  0.        ,  0.        ]))"
Subscription List BOW,"('ACCURACY--> Bayes:', 0.51376146788990829, '|RForest:', 0.50458715596330272, '|SVM:', 0.5, '|SGD:', 0.51376146788990829, 'F-SCORE--> Bayes:', array([ 0.        ,  0.68789809,  0.125     ,  0.05263158,  0.18181818,  0.        ]), '|RForest:', array([ 0.        ,  0.67711599,  0.        ,  0.1025641 ,  0.        ,  0.        ]), '|SVM:', array([ 0.        ,  0.67711599,  0.        ,  0.05263158,  0.        ,  0.        ]), '|SGD:', array([ 0.        ,  0.69009585,  0.06451613,  0.1025641 ,  0.16666667,  0.        ]))"
Tweets BOW,"('ACCURACY--> Bayes:', 0.62844036697247707, '|RForest:', 0.60550458715596334, '|SVM:', 0.55963302752293576, '|SGD:', 0.57798165137614677, 'F-SCORE--> Bayes:', array([ 0.42105263,  0.79487179,  0.35714286,  0.57142857,  0.23529412,  0.        ]), '|RForest:', array([ 0.08      ,  0.76335878,  0.1875    ,  0.66666667,  0.        ,  0.        ]), '|SVM:', array([ 0.43010753,  0.68468468,  0.37209302,  0.51612903,  0.26666667,  0.        ]), '|SGD:', array([ 0.12      ,  0.77042802,  0.19512195,  0.50746269,  0.3       ,  0.        ]))"
Tweets Bigram,"('ACCURACY--> Bayes:', 0.6009174311926605, '|RForest:', 0.59633027522935778, '|SVM:', 0.54128440366972475, '|SGD:', 0.57339449541284404, 'F-SCORE--> Bayes:', array([ 0.25925926,  0.78297872,  0.44444444,  0.5       ,  0.21052632,  0.        ]), '|RForest:', array([ 0.08163265,  0.7593985 ,  0.06666667,  0.65822785,  0.        ,  0.        ]), '|SVM:', array([ 0.40963855,  0.68965517,  0.2       ,  0.45901639,  0.31578947,  0.        ]), '|SGD:', array([ 0.04651163,  0.7593985 ,  0.11111111,  0.53164557,  0.        ,  0.        ]))"
